"name","abstract","authors","year","base","analysis","review"
"A Scalable and Efficient Approach for Compiling and Analyzing Commit History",,"Behnamghader, Pooyan and Meemeng, Patavee and Fostiropoulos, Iordanis and Huang, Di and Srisopha, Kamonphop and Boehm, Barry",2018,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Integration of Existing Software Artifacts into a View- and Change-Driven Development Approach","For the description of complex software systems, a variety of different languages can be used, e.g., architecture diagrams, behavior models, source code, etc. Maintaining these artifacts is a complex task, if the contained information is not completely disjoint. There are approaches that keep such redundancies consistent by propagating changes. This is, however, only possible if change descriptions are recorded or provided. Therefore, these change-driven approaches cannot be used to maintain existing software projects, which did not record all changes during development. This results in the need of developing a possibility for the integration of said projects. We therefore propose two different strategies for integrating existing artifacts into a change-driven approach: Our first strategy creates change histories for models, while the second strategy builds correspondences from given trace links and their attached artifacts. Furthermore, we suggest a number of criteria, which determine which strategy is best used, and when. In this paper, we applied our strategies to architectural models and object-oriented source code and used a reverse engineering tool to create the necessary trace links. We evaluated the applicability of our approach with several case studies, containing five real world architectural models and five medium-sized Java projects.","Leonhardt, Sven and Hettwer, Benjamin and Hoor, Johannes and Langhammer, Michael",2015,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"How Does Regression Test Prioritization Perform in Real-world Software Evolution?",,"Lu, Yafeng and Lou, Yiling and Cheng, Shiyang and Zhang, Lingming and Hao, Dan and Zhou, Yangfan and Zhang, Lu",2016,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Why Did This Code Change?",,"Rastkar, Sarah and Murphy, Gail C.",2013,"[""ACM""]","Rejeitado: CR5","Rejeitado: CR0"
"Supporting Continuous Integration by Code-churn Based Test Selection",,"Knauss, Eric and Staron, Miroslaw and Meding, Wilhelm and S\""{o}der, Ola and Nilsson, Agneta and Castell, Magnus",2015,"[""ACM""]","Rejeitado: CR12","Rejeitado: CR0"
"A Game-based Learning Approach to Road Safety: The Code of Everand",,"Dunwell, Ian and de Freitas, Sara and Petridis, Panagiotis and Hendrix, Maurice and Arnab, Sylvester and Lameras, Petros and Stewart, Craig",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"Revisiting Context-based Code Smells Prioritization: On Supporting Referred Context",,"Sae-Lim, Natthawute and Hayashi, Shinpei and Saeki, Motoshi",2017,"[""ACM"",""Engineering Village""]","Rejeitado: CR8","Rejeitado: CR0"
"Demo",,"Holtz, Jarrett and Guha, Arjun and Biswas, Joydeep",2018,"[""ACM""]","Rejeitado: CR5","Rejeitado: CR0"
"How the Evolution of Emerging Collaborations Relates to Code Changes: An Empirical Study",,"Panichella, Sebastiano and Canfora, Gerardo and Di Penta, Massimiliano and Oliveto, Rocco",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR11","Rejeitado: CR0"
"Structural and Visual Comparisons for Web Page Archiving",,"Law, Marc Teva and Thome, Nicolas and Gan\c{c}arski, St{\'e}phane and Cord, Matthieu",2012,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Language Model Rest Costs and Space-efficient Storage",,"Heafield, Kenneth and Koehn, Philipp and Lavie, Alon",2012,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"A Code Morphing Methodology to Automate Power Analysis Countermeasures","We introduce a general framework to automate the application of countermeasures against Differential Power Attacks aimed at software implementations of cryptographic primitives. The approach enables the generation of multiple versions of the code, to prevent an attacker from recognizing the exact point in time where the observed operation is executed and how such operation is performed. The strategy increases the effort needed to retrieve the secret key through hindering the formulation of a correct hypothetical consumption to be correlated with the power measurements. The experimental evaluation shows how a DPA attack against OpenSSL AES implementation on an industrial grade ARM-based SoC is hindered with limited performance overhead.","Agosta, Giovanni and Barenghi, Alessandro and Pelosi, Gerardo",2012,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Modular Capture Avoidance for Program Transformations",,"Ritschel, Nico and Erdweg, Sebastian",2015,"[""ACM""]","Rejeitado: CR5","Rejeitado: CR0"
"Version Control Graphical Interface for Open OnDemand",,"Chen, Huan and Fietkiewicz, Chris",2018,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Querying Sequential Software Engineering Data",,"Sun, Chengnian and Zhang, Haidong and Lou, Jian-Guang and Zhang, Hongyu and Wang, Qiang and Zhang, Dongmei and Khoo, Siau-Cheng",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR0"
"Barriers Faced by Coding Bootcamp Students",,"Thayer, Kyle and Ko, Andrew J.",2017,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Variable Provenance in Software Systems","Data Provenance is defined as lineage or history of the given dataitem. Knowing the source of the data or the transformation of the data-source to compute the given data is critical for analyzing the quality of the data. Many transformations of data are done in software (source code). We introduce and define the concept of Variable Provenance for source code. We argue that determining the origin(s) of the data held by a variable and the history of modifications of the variable can provide critical information along many dimensions about what happens in the source code. We use understanding of source code and creating business rules from source code as use-cases to illustrate our view-point. To compute the variable provenance, we combine program slicing techniques and operational rules associated with mathematical operators in computations to propagate the annotations. We predict that the solution to the problem of variable provenance can lead to many use-cases in the software engineering community, effective discovery of processes and business rules from existing systems, and powerful development, debugging and evolution techniques for the software industry.","Chittimalli, Pavan Kumar and Naik, Ravindra",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR11","Rejeitado: CR11"
"Transforming Programs and Tests in Tandem for Fault Localization",,"Li, Xia and Zhang, Lingming",2017,"[""ACM"",""Engineering Village""]","Rejeitado: CR12","Rejeitado: CR12"
"Search-based Refactoring Detection","We propose an approach to automate the detection of source code refactoring using structural information. Our approach takes as input a list of possible refactorings, a set of structural metrics and the initial and revised versions of the source code. It generates as output a sequence of detected changes in terms of refactorings. In this case, a solution is defined as the sequence of refactoring operations that minimizes the metrics variation between the revised version of the software and the version yielded by the application of the refactoring sequence to the initial version of the software. We use and adapt global and local heuristic search algorithms to explore the space of possible solutions.","Mahouachi, Rim and Kessentini, Marouane and \'{O} Cinn{\'e}ide, Mel",2013,"[""ACM""]","Aceito: CA4, CA6","Aceito: CA1, CA2, CA3, CA7"
"SARATHI: Characterization Study on Regression Bugs and Identification of Regression Bug Inducing Changes: A Case-Study on Google Chromium Project",,"Khattar, Manisha and Lamba, Yash and Sureka, Ashish",2015,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR10, CR8"
"InTime: A Machine Learning Approach for Efficient Selection of FPGA CAD Tool Parameters",,"Kapre, Nachiket and Ng, Harnhua and Teo, Kirvy and Naude, Jaco",2015,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9, CR8, CR10"
"Is It Possible to Automatically Port Kernel Modules?",,"Zhen, Yanjie and Zhang, Wei and Dai, Zhenyang and Mao, Junjie and Chen, Yu",2018,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Automating Object Transformations for Dynamic Software Updating","Dynamic software updating (DSU) systems eliminate costly downtime by dynamically fixing bugs and adding features to executing programs. Given a static code patch, most DSU systems construct runtime code changes automatically. However, a dynamic update must also specify how to change the running program's execution state, e.g., the stack and heap, to make it compatible with the new code. Constructing such state transformations correctly and automatically remains an open problem. This paper presents a solution called Targeted Object Synthesis (TOS). TOS first executes the same tests on the old and new program versions separately, observing the program heap state at a few corresponding points. Given two corresponding heap states, TOS matches objects in the two versions using key fields that uniquely identify objects and correlate old and new-version objects. Given example object pairs, TOS then synthesizes the simplest-possible function that transforms an old-version object to its new-version counterpart. We show that TOS is effective on updates to four open-source server programs for which it generates non-trivial transformation functions that use conditionals, operate on collections, and fix memory leaks. These transformations help programmers understand their changes and apply dynamic software updates.","Magill, Stephen and Hicks, Michael and Subramanian, Suriya and McKinley, Kathryn S.",2012,"[""ACM"",""Engineering Village""]","Rejeitado: CR8","Rejeitado: CR8, CR10"
"ADiJaC -- Automatic Differentiation of Java Classfiles","This work presents the current design and implementation of ADiJaC, an automatic differentiation tool for Java classfiles. ADiJaC uses source transformation to generate derivative codes in both the forward and the reverse modes of automatic differentiation. We describe the overall architecture of the tool and present various details and examples for each of the two modes of differentiation. We emphasize the enhancements that have been made over previous versions of ADiJaC and illustrate their influence on the generality of the tool and on the performance of the generated derivative codes. The ADiJaC tool has been used to generate derivatives for a variety of problems, including real-world applications. We evaluate the performance of such codes and compare it to derivatives generated by Tapenade, a well-established automatic differentiation tool for Fortran and C/C++. Additionally, we present a more detailed performance analysis of a real-world application. Apart from being the only general-purpose automatic differentiation tool for Java bytecode, we argue that ADiJaC’s features and performance are comparable to those of similar mature tools for other programming languages such as C/C++ or Fortran.","Slu\c{s}anschi, Emil I. and Dumitrel, Vlad",2016,"[""ACM""]","Rejeitado: CR11","Rejeitado: CR11"
"Evaluating Software Merge Quality",,"Mehdi, Ahmed-Nacer and Urso, Pascal and Charoy, Fran\c{c}ois",2014,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR10, CR8"
"SOTorrent: Reconstructing and Analyzing the Evolution of Stack Overflow Posts",,"Baltes, Sebastian and Dumani, Lorik and Treude, Christoph and Diehl, Stephan",2018,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"An Unsupervised Distance Learning Framework for Multimedia Retrieval",,"Valem, Lucas Pascotti and Pedronette, Daniel Carlos Guimar\~{a}es",2017,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"The Past, Present and Future of Technical Debt: Learning from the Past to Prepare for the Future",,"Woods, Eoin",2018,"[""ACM""]","Rejeitado: CR8","Rejeitado: CR0"
"Locality-aware Mapping and Scheduling for Multicores",,"Ding, Wei and Kandemir, Mahmut and Yedlapalli, Praveen and Zhang, Yuanrui and Srinivas, Jithendra",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Embrace Your Issues: Compassing the Software Engineering Landscape Using Bug Reports",,"Borg, Markus",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"Seeking the Ground Truth: A Retroactive Study on the Evolution and Migration of Software Libraries",,"Cossette, Bradley E. and Walker, Robert J.",2012,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"Verification Modulo Versions: Towards Usable Verification",,"Logozzo, Francesco and Lahiri, Shuvendu K. and F\""{a}hndrich, Manuel and Blackshear, Sam",2014,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Virtual Textual Model Composition for Supporting Versioning and Aspect-orientation","The maintenance of modern systems often requires developers to perform complex and error-prone cognitive tasks, which are caused by the obscurity, redundancy, and irrelevancy of code, distracting from essential maintenance tasks. Typical maintenance scenarios include multiple branches of code in repositories, which involves dealing with branch-interdependent changes, and aspects in aspect-oriented development, which requires in-depth knowledge of behavior-interdependent changes. Thus, merging branched files as well as validating the behavior of statically composed code requires developers to conduct exhaustive individual introspection.

In this work we present VirtualEdit for associative, commutative, and invertible model composition. It allows simultaneous editing of multiple model versions or variants through dynamically derived virtual models. We implemented the approach in terms of an open-source framework that enables multi-version editing and aspect-orientation by selectively focusing on specific parts of code, which are significant for a particular engineering task.

The VirtualEdit framework is evaluated based on its application to the most popular publicly available Xtext-based languages. Our results indicate that VirtualEdit can be applied to existing languages with reasonably low effort.","Bill, Robert and Neubauer, Patrick and Wimmer, Manuel",2017,"[""ACM""]","Rejeitado: CR12","Rejeitado: CR12"
"Minimizing the Cost of Iterative Compilation with Active Learning",,"Ogilvie, William F. and Petoumenos, Pavlos and Wang, Zheng and Leather, Hugh",2017,"[""ACM""]","Rejeitado: CR5","Rejeitado: CR0"
"Multiversioned Decoupled Access-execute: The Key to Energy-efficient Compilation of General-purpose Programs",,"Koukos, Konstantinos and Ekemark, Per and Zacharopoulos, Georgios and Spiliopoulos, Vasileios and Kaxiras, Stefanos and Jimborean, Alexandra",2016,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Identifying Hotspots in a Program for Data Parallel Architecture: An Early Experience",,"Sarkar, Santonu and Maltouf, Mageri Filali",2012,"[""ACM"",""Engineering Village""]","Rejeitado: CR12","Rejeitado: CR0"
"Portable Mapping of Data Parallel Programs to OpenCL for Heterogeneous Systems",,"O'Boyle, Michael F.  P. and Wang, Zheng and Grewe, Dominik",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Living in Parallel Realities: Co-Existing Schema Versions with a Bidirectional Database Evolution Language",,"Herrmann, Kai and Voigt, Hannes and Behrend, Andreas and Rausch, Jonas and Lehner, Wolfgang",2017,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"How Much Really Changes?: A Case Study of Firefox Version Evolution Using a Clone Detector",,"Lavoie, Thierry and Merlo, Ettore",2013,"[""ACM""]","Rejeitado: CR8","Rejeitado: CR0"
"What Can Changes Tell About Software Processes?",,"Russo, Barbara and Steff, Maximilian",2014,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"The Code Time Machine","Exploring and analyzing the history of changes is an intrinsic part of software evolution comprehension. Existing tools that exploit the data residing in version control repositories provide only limited support for the intuitive navigation of code changes from a historical perspective. We present the Code Time Machine, a lightweight IDE plugin which uses visualization techniques to depict the history of any chosen file augmented with information mined from the underlying versioning system. Inspired by Apple's Time Machine, our tool allows both developers and the system itself to seamlessly move through time. A video of the Code Time Machine can be found at https://youtu.be/meblwFO95oA.","Aghajani, Emad and Mocci, Andrea and Bavota, Gabriele and Lanza, Michele",2017,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR12"
"Industrial Experience with the Migration of Legacy Models Using a DSL",,"Schuts, Mathijs and Hooman, Jozef and Tielemans, Paul",2018,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"Ant Build Maintenance with Formiga",,"Hardt, Ryan and Munson, Ethan V.",2013,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Patch Verification via Multiversion Interprocedural Control Flow Graphs",,"Le, Wei and Pattison, Shannon D.",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"Development Context Driven Change Awareness and Analysis Framework","Recent work on workspace monitoring allows conflict pre- diction early in the development process, however, these approaches mostly use syntactic differencing techniques to compare different program versions. In contrast, traditional change-impact analysis techniques analyze related versions of the program only after the code has been checked into the master repository. We propose a novel approach, DeCAF (Development Context Analysis Framework), that leverages the development context to scope a change impact analysis technique. The goal is to characterize the impact of each developer on other developers in the team. There are various client applications such as task prioritization, early conflict detection, and providing advice on testing that can benefit from such a characterization. The DeCAF frame- work leverages information from the development context to bound the iDiSE change impact analysis technique to analyze only the parts of the code base that are of interest. Bounding the analysis can enable DeCAF to efficiently com- pute the impact of changes using a combination of program dependence and symbolic execution based approaches.","Sarma, Anita and Branchaud, Josh and Dwyer, Matthew B. and Person, Suzette and Rungta, Neha",2014,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR11"
"What Change History Tells Us About Thread Synchronization",,"Gu, Rui and Jin, Guoliang and Song, Linhai and Zhu, Linjie and Lu, Shan",2015,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR0"
"Hacking and Making at Time-Bounded Events: Current Trends and Next Steps in Research and Event Design",,"Filippova, Anna and Chapman, Brad and Geiger, R. Stuart and Herbsleb, James D. and Kalyanasundaram, Arun and Trainer, Erik and Moser, Aurelia and Stoltzfus, Arlin",2017,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"The 2Nd Workshop on Hacking and Making at Time-Bounded Events: Current Trends and Next Steps in Research and Event Design",,"Pe Than, Ei Pa Pa and Herbsleb, James and Nolte, Alexander and Gerber, Elizabeth and Fiore-Gartland, Brittany and Chapman, Brad and Moser, Aurelia and Wilkins-Diehr, Nancy",2018,"[""ACM""]","Rejeitado: CR4","Rejeitado: CR0"
"On the Diffuseness and the Impact on Maintainability of Code Smells: A Large Scale Empirical Investigation",,"Palomba, Fabio and Bavota, Gabriele and Di Penta, Massimiliano and Fasano, Fausto and Oliveto, Rocco and De Lucia, Andrea",2018,"[""ACM""]","Rejeitado: CR8","Rejeitado: CR0"
"DeepBugs: A Learning Approach to Name-based Bug Detection","Natural language elements in source code, e.g., the names of variables and functions, convey useful information. However, most existing bug detection tools ignore this information and therefore miss some classes of bugs. The few existing name-based bug detection approaches reason about names on a syntactic level and rely on manually designed and tuned algorithms to detect bugs. This paper presents DeepBugs, a learning approach to name-based bug detection, which reasons about names based on a semantic representation and which automatically learns bug detectors instead of manually writing them. We formulate bug detection as a binary classification problem and train a classifier that distinguishes correct from incorrect code. To address the challenge that effectively learning a bug detector requires examples of both correct and incorrect code, we create likely incorrect code examples from an existing corpus of code through simple code transformations. A novel insight learned from our work is that learning from artificially seeded bugs yields bug detectors that are effective at finding bugs in real-world code. We implement our idea into a framework for learning-based and name-based bug detection. Three bug detectors built on top of the framework detect accidentally swapped function arguments, incorrect binary operators, and incorrect operands in binary operations. Applying the approach to a corpus of 150,000 JavaScript files yields bug detectors that have a high accuracy (between 89% and 95%), are very efficient (less than 20 milliseconds per analyzed file), and reveal 102 programming mistakes (with 68% true positive rate) in real-world code.","Pradel, Michael and Sen, Koushik",2018,"[""ACM"",""Engineering Village""]","Rejeitado: CR12","Rejeitado: CR7"
"Learning API Usages from Bytecode: A Statistical Approach",,"Nguyen, Tam The and Pham, Hung Viet and Vu, Phong Minh and Nguyen, Tung Thanh",2016,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"An Exploratory Study of Contribution Barriers Experienced by Newcomers to Open Source Software Projects",,"Hannebauer, Christoph and Book, Matthias and Gruhn, Volker",2014,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Injecting Mechanical Faults to Localize Developer Faults for Evolving Software","This paper presents a novel methodology for localizing faults in code as it evolves. Our insight is that the essence of failure-inducing edits made by the developer can be captured using mechanical program transformations (e.g., mutation changes). Based on the insight, we present the FIFL framework, which uses both the spectrum information of edits (obtained using the existing FaultTracer approach) as well as the potential impacts of edits (simulated by mutation changes) to achieve more accurate fault localization. We evaluate FIFL on real-world repositories of nine Java projects ranging from 5.7KLoC to 88.8KLoC. The experimental results show that FIFL is able to outperform the state-of-the-art FaultTracer technique for localizing failure-inducing program edits significantly. For example, all 19 FIFL strategies that use both the spectrum information and simulated impact information for each edit outperform the existing FaultTracer approach statistically at the significance level of 0.01. In addition, FIFL with its default settings outperforms FaultTracer by 2.33% to 86.26% on 16 of the 26 studied version pairs, and is only inferior than FaultTracer on one version pair.","Zhang, Lingming and Zhang, Lu and Khurshid, Sarfraz",2013,"[""ACM"",""Engineering Village""]","Rejeitado: CR7","Rejeitado: CR7"
"Regressing Towards Simpler Prediction Systems","This talk will focus on our experience in managing the complexity of Sibyl, a large scale machine learning system that is widely used within Google. We believe that a large fraction of the challenges faced by Sibyl are inherent to large scale production machine learning and that other production systems are likely to encounter them as well [1]. Thus, these challenges present interesting opportunities for future research. The Sibyl system is complex for a number of reasons. We have learnt that a complete end-to-end machine learning solution has to have subsystems to address a variety of different needs: data ingestion, data analysis, data verification, experimentation, model analysis, model serving, configuration, data transformations, support for different kinds of loss functions and modeling, machine learning algorithm implementations, etc. Machine learning algorithms themselves constitute a relatively small fraction of the overall system.

Each subsystem consists of a number of distinct components to support the variety of product needs. For example, Sibyl supports more than 5 different model serving systems, each with its own idiosyncrasies and challenges. In addition, Sibyl configuration contains more lines of code than the core Sibyl learner itself. Finally existing solutions for some of the challenges don't feel adequate and we believe these challenges present opportunities for future research.

Though the overall system is complex, our users need to be able to deploy solutions quickly. This is because a machine learning deployment is typically an iterative process of model improvements. At each iteration, our users experiment with new features, find those that improve the model's prediction capability, and then ""launch"" a new model with those improved features. A user may go through 10 or more such productive launches. Not only is speed of iteration crucial to our users, but they are often willing to sacrifice the improved prediction quality of a high quality but cumbersome system for the speed of iteration of a lower quality but nimble system.

In this talk I will give an example of how simplification drives systems design and sometimes the design of novel algorithms.","Chandra, Tushar",2015,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Coding of Non-stationary Sources As a Foundation for Detecting Change Points and Outliers in Binary Time-series",,"Sunehag, Peter and Shao, Wen and Hutter, Marcus",2012,"[""ACM""]","Rejeitado: CR5","Rejeitado: CR0"
"Coaster: Teaching Computer Graphics Incrementally (Abstract Only)",,"Lewis, Robert R.",2015,"[""ACM""]","Rejeitado: CR1","Rejeitado: CR0"
"Avoiding Useless Mutants","Mutation testing is a program-transformation technique that injects artificial bugs to check whether the existing test suite can detect them. However, the costs of using mutation testing are usually high, hindering its use in industry. Useless mutants (equivalent and duplicated) contribute to increase costs. Previous research has focused mainly on detecting useless mutants only after they are generated and compiled. In this paper, we introduce a strategy to help developers with deriving rules to avoid the generation of useless mutants. To use our strategy, we pass as input a set of programs. For each program, we also need a passing test suite and a set of mutants. As output, our strategy yields a set of useless mutants candidates. After manually confirming that the mutants classified by our strategy as ""useless"" are indeed useless, we derive rules that can avoid their generation and thus decrease costs. To the best of our knowledge, we introduce 37 new rules that can avoid useless mutants right before their generation. We then implement a subset of these rules in the MUJAVA mutation testing tool. Since our rules have been derived based on artificial and small Java programs, we take our MUJAVA version embedded with our rules and execute it in industrial-scale projects. Our rules reduced the number of mutants by almost 13% on average. Our results are promising because (i) we avoid useless mutants generation; (ii) our strategy can help with identifying more rules in case we set it to use more complex Java programs; and (iii) our MUJAVA version has only a subset of the rules we derived.","Fernandes, Leonardo and Ribeiro, M\'{a}rcio and Carvalho, Luiz and Gheyi, Rohit and Mongiovi, Melina and Santos, Andr{\'e} and Cavalcanti, Ana and Ferrari, Fabiano and Maldonado, Jos{\'e} Carlos",2017,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Automatic and Portable Mapping of Data Parallel Programs to OpenCL for GPU-Based Heterogeneous Systems",,"Wang, Zheng and Grewe, Dominik and O'boyle, Michael F. P.",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9, CR8, CR10"
"MJ No More: Using Concurrent Wikipedia Edit Spikes with Social Network Plausibility Checks for Breaking News Detection",,"Steiner, Thomas and van Hooland, Seth and Summers, Ed",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"HireBuild: An Automatic Approach to History-driven Repair of Build Scripts",,"Hassan, Foyzul and Wang, Xiaoyin",2018,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"QR Code Based Image Steganography via Variable Step Size Firefly Algorithm and Lifting Wavelet Transform",,"Raja, P. M. Siva and Baburaj, E.",2018,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Flexible Access Control for Javascript","Providing security guarantees for systems built out of untrusted components requires the ability to define and enforce access control policies over untrusted code. In Web 2.0 applications, JavaScript code from different origins is often combined on a single page, leading to well-known vulnerabilities. We present a security infrastructure which allows users and content providers to specify access control policies over subsets of a JavaScript program by leveraging the concept of delimited histories with revocation. We implement our proposal in WebKit and evaluate it with three policies on 50 widely used websites with no changes to their JavaScript code and report performance overheads and violations.","Richards, Gregor and Hammer, Christian and Zappa Nardelli, Francesco and Jagannathan, Suresh and Vitek, Jan",2013,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Code Transformations Based on Speculative SDC Scheduling",,"Lattuada, Marco and Ferrandi, Fabrizio",2015,"[""ACM""]","Rejeitado: CR5","Rejeitado: CR0"
"App Making for Pro-Social and Environmental Change at an Equity-Oriented Makeathon","The purpose of this paper is to analyze the effectiveness of an equity-oriented Makeathon designed to foster maker mindsets and maker identities in high school girls by engaging them with diverse tools, materials, mentorship, collaborative prototyping, and creative computing. The central theme of the University of British Columbia (UBC) Girls' Makeathon emphasized Tech for Change. Teams were challenged to make a mobile app related to an issue that teen girls face in local or global communities throughout the world. Participants learned how to identify a complex problem, design effective solutions, and change the world for the better by communicating their ideas (via apps and a pitch to a panel of experts). The results from the girls' design experiences, team presentations, surveys, and interviews show gains in their understandings of greening making and pro-social change making. Findings underscore the matter concerning how, why, and where do girls learn to become makers, coders, and inventors of media and technology (thereby overturning traditional gender and generational stereotypes)? The lessons learned in empowering girls to tackle inequality and create the futures they want to be part of will be useful for teachers and researchers who are interested in working with youth to design apps and innovative maker activities for environmental and sustainable education, research, and/or outreach.","MacDowell, Paula and Ralph, Rachel and Ng, David",2017,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR9, CR8, CR10"
"Feature-based Object Identification for Web Automation",,"Herzog, Christoph and Kordomatis, Iraklis and Holzinger, Wolfgang and Fayzrakhmanov, Ruslan R. and Kr\""{u}pl-Sypien, Bernhard",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Understanding Sequence Conservation With Deep Learning",,"Li, Yi and Quang, Daniel and Xie, Xiaohui",2017,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Software Developers Are Humans, Too!",,"Vasilescu, Bogdan",2014,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Maximizing Correctness with Minimal User Effort to Learn Data Transformations","Data transformation often requires users to write many trivial and task-dependent programs to transform thousands of records. Recently, programming-by-example (PBE) approaches enable users to transform data without coding. A key challenge of these PBE approaches is to deliver correctly transformed results on large datasets, since these transformation programs are likely to be generated by non-expert users. To address this challenge, existing approaches aim to identify a small set of potentially incorrect records and ask users to examine these records instead of the entire dataset. However, because the transformation scenarios are highly task-dependent, existing approaches cannot capture the incorrect records for various scenarios. We present a approach that learns from past transformation scenarios to generate a meta-classifier to identify the incorrect records. Our approach color-codes these transformed records and then presents them for users to examine. The method allows users to either enter an example for a record transformed incorrectly or confirm the correctness of a transformed record. And our approach can learn from the users' labels to refine the meta-classifier to accurately identify the incorrect records. Simulation results and a user study show that our method can identify the incorrectly transformed records and reduce the user efforts in examining the results.","Wu, Bo and Knoblock, Craig A.",2016,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"On-chip Sparse Learning with Resistive Cross-point Array Architecture",,"Yu, Shimeng and Cao, Yu",2015,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Parameterized BLOSUM Matrices for Protein Alignment",,"Song, Dandan and Chen, Jiaxing and Chen, Guang and Li, Ning and Li, Jin and Fan, Jun and Bu, Dongbo and Li, Shuai Cheng",2015,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"An Empirical Comparison of the Development History of Cloudstack and Eucalyptus","Open source cloud computing solutions, such as CloudStack and Eucalyptus, have become increasingly popular in recent years. Despite this popularity, a better understanding of the factors influencing user adoption is still under active research. For example, increased project agility may lead to solutions that remain competitive in a rapidly evolving market, while keeping the software quality under control. Like any software system that is subject to frequent evolution, cloud computing solutions are subject to errors and quality problems, which may affect user experience and require frequent bug fixes. While prior comparisons of cloud platforms have focused most often on their provided services and functionalities, the current paper provides an empirical comparison of CloudStack and Eucalyptus, focusing on quality-related software development aspects. More specifically, we study the change history of the source code and its unit tests, as well as the history of bugs in the Jira issue tracker. We found that CloudStack has a high and more rapidly increasing test coverage than Eucalyptus. CloudStack contributors are more likely to participate in development and testing. We also observed differences between both projects pertaining to the bug life cycle and bug fixing time.","Zerouali, Ahmed and Mens, Tom",2017,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Attributing Authorship of Revisioned Content",,"de Alfaro, Luca and Shavlovsky, Michael",2013,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
